,state,PK12ed_real,PK12ed_realperch,highered_real,highered_realperch,edsubs_real,edsubs_realperch,edservs_real,edservs_realperch,HeadStartPriv_real,HeadStartPriv_realperch,year
34,North Dakota,1101735.875,6.878111362457275,435419.75,2.7183153629302983,47082.7578125,0.293936550617218,58997.609375,0.3683207035064697,8132.095703125,0.05076848343014717,2010
35,Ohio,20282736.0,7.017866611480713,2286146.0,0.7910110354423523,1516991.625,0.5248820781707764,343778.75,0.11894812434911728,259078.4375,0.08964164555072784,2010
36,Oklahoma,5633299.5,5.7155866622924805,1218944.25,1.2367497682571411,327194.5625,0.33197399973869324,239428.328125,0.2429257333278656,92288.375,0.09363646060228348,2010
37,Oregon,5877790.0,6.405416965484619,1779831.5,1.9396002292633057,259852.046875,0.2831779718399048,186605.484375,0.20335635542869568,60049.33203125,0.06543973088264465,2010
38,Pennsylvania,24189464.0,8.131084442138674,2978295.75,1.0011290311813354,1034647.5625,0.3477880656719208,747154.875,0.2511498034000397,185609.3125,0.0623910054564476,2010
39,Rhode Island,2306508.25,9.573235511779783,134157.90625,0.5568265914916992,94711.3515625,0.3931024372577667,113991.6875,0.473126083612442,25499.36328125,0.1058359071612358,2010
40,South Carolina,7123427.5,6.205860137939452,795925.75,0.6934027075767517,865380.0625,0.7539106011390686,371924.5,0.3240169584751129,93778.8125,0.0816991776227951,2010
41,South Dakota,1150783.0,5.354097843170166,227936.046875,1.0604882240295408,33472.07421875,0.15573114156723022,74868.671875,0.3483316898345947,16964.9296875,0.07893051207065582,2010
42,Tennessee,8570142.0,5.413679599761963,1415542.0,0.8941848278045654,573645.0,0.362366259098053,279299.65625,0.17643101513385773,93740.5390625,0.059215035289525986,2010
43,Texas,43532560.0,5.9992408752441415,14413453.0,1.9863240718841555,1373934.125,0.1893424540758133,976583.125,0.13458333909511566,319990.03125,0.04409796372056008,2010
44,Utah,3462316.0,3.76727294921875,1545391.625,1.6815080642700195,171389.203125,0.18648497760295868,167730.125,0.1825036108493805,39929.7109375,0.04344667494297028,2010
45,Vermont,1517863.125,10.934589385986328,146629.59375,1.0563102960586548,106013.234375,0.7637125849723816,69618.3046875,0.5015258193016052,13438.95703125,0.0968133881688118,2010
46,Virginia,14690136.0,7.463483810424805,2106994.0,1.0704813003540041,633736.5,0.3219767212867737,286483.5625,0.14555110037326813,78722.5859375,0.03999586775898933,2010
47,Washington,10454045.0,6.238196849822997,2813137.5,1.6786712408065796,812222.6875,0.4846740961074829,616783.6875,0.3680506348609924,60515.05859375,0.03611088916659355,2010
48,West Virginia,3287299.5,7.977217197418213,599833.0625,1.4556016921997068,145081.234375,0.3520654141902924,411321.53125,0.9981448650360109,45260.08984375,0.10983166098594667,2010
49,Wisconsin,10674843.0,7.527354717254639,3086117.25,2.1761724948883057,283255.875,0.19973759353160855,334370.78125,0.2357812225818634,85428.6953125,0.060239959508180625,2010
50,Wyoming,1454978.75,10.16295051574707,426641.28125,2.980067014694214,50304.94921875,0.3513774275779724,75894.3125,0.5301178097724915,13131.306640625,0.09172149002552032,2010
0,Alabama,7110272.5,5.976073741912843,1599573.0,1.344416260719299,480866.5625,0.40416085720062256,326167.875,0.274139016866684,108485.390625,0.09118028730154036,2011
1,Alaska,2369530.0,11.938802719116213,505172.9375,2.5452980995178223,20971.486328125,0.10566417872905733,93457.0703125,0.470880538225174,14776.68359375,0.07445185631513596,2011
2,Arizona,7653915.0,4.48920488357544,1732533.375,1.0161724090576172,562673.0625,0.3300212621688843,199943.125,0.11727144569158555,91893.5,0.05389774590730667,2011
3,Arkansas,4971275.5,6.6219749450683585,1094536.0,1.4579739570617676,582296.3125,0.7756463289260864,135895.109375,0.181018739938736,76104.328125,0.1013745740056038,2011
4,California,60398860.0,6.158283710479736,22790320.0,2.323707103729248,3815083.75,0.3889869749546051,1375987.875,0.1402960866689682,617805.5,0.06299161165952682,2011
5,Colorado,7473932.0,5.746795654296875,1213297.125,0.932918667793274,338284.40625,0.26011091470718384,88581.9921875,0.06811175495386124,57131.78125,0.043929308652877815,2011
6,Connecticut,8414518.0,9.78472137451172,961725.5625,1.1183310747146606,360461.71875,0.4191585779190064,287308.5,0.33409324288368225,47385.51953125,0.055101685225963586,2011
7,Delaware,1655434.875,7.579586982727051,215508.875,0.9867306351661682,200865.296875,0.9196833968162536,143424.515625,0.6566846370697021,15728.5712890625,0.0720149576663971,2011
8,District of Columbia,2005753.75,17.640289306640625,127081.125,1.1176584959030151,0.0,0.0,0.0,0.0,13504.8955078125,0.1187734305858612,2011
9,Florida,24757726.0,5.8399415016174325,4708454.5,1.110647201538086,2033179.375,0.4795936942100525,898290.1875,0.21189193427562714,198403.1875,0.046800058335065835,2011
10,Georgia,16175757.0,6.147794246673584,2479167.5,0.9422379732131958,1242888.5,0.4723749756813049,978211.3125,0.3717811703681946,188688.609375,0.0717134177684784,2011
11,Hawaii,1873494.5,5.818631172180176,647985.9375,2.012491226196289,88437.4609375,0.27466586232185364,13930.658203125,0.04326533153653145,26695.046875,0.0829085037112236,2011
12,Idaho,1917714.25,4.250507354736328,490623.1875,1.0874391794204712,81711.5703125,0.18110917508602145,70572.2265625,0.15641944110393524,17480.798828125,0.0387452244758606,2011
13,Illinois,23836618.0,7.284108161926269,4005916.25,1.2241472005844116,1066947.625,0.3260429799556732,497559.40625,0.1520465910434723,239534.9375,0.07319823652505875,2011
14,Indiana,9224115.0,5.462798118591309,1504325.625,0.8909068703651428,820765.5625,0.4860820472240448,265652.125,0.15732717514038086,95460.359375,0.056534495204687125,2011
15,Iowa,5085904.5,6.613032341003418,1393495.125,1.8119152784347532,287811.125,0.374231219291687,155833.328125,0.20262488722801208,57594.66015625,0.07488841563463211,2011
16,Kansas,4602524.0,6.003258228302003,1369196.25,1.7858980894088743,148363.234375,0.19351616501808167,132291.640625,0.17255334556102753,42407.66015625,0.05531402677297592,2011
