county_code,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,exp_current_supp_serve_total,exp_current_other,exp_current_food_serv,enrollment_fall_responsible,enrollment_fall_school,salaries_total,rev_fed_total,salaries_food_service,benefits_supp_sch_admin,exp_current_sch_admin,rev_fed_child_nutrition_act,salaries_supp_bco,rev_total,exp_current_elsec_total,salaries_teachers_regular_prog,rev_state_total,exp_total,salaries_supp_sch_admin,exp_current_bco,rev_state_gen_formula_assist,salaries_supp_operation_plant,exp_current_operation_plant,salaries_instruction,rev_fed_state_title_i,exp_current_instruction_total,rev_fed_state_idea,benefits_employee_total,benefits_supp_bco,debt_longterm_outstand_beg_fy,debt_longterm_outstand_end_fy,rev_local_total,benefits_supp_operation_plant,rev_fed_nonspec,payments_private_schools,salaries_teachers_vocational,payments_charter_schools,rev_state_bilingual_ed,rev_state_gifted_talented,exp_utilities_energy,rev_state_vocational_ed,rev_local_dist_activ_receipts,assets_sinking_fund,incar_rate
27035,2766.0,308.0,332.0,62.0,62.0,68.0,0.0,12.0,154.0,30233000,4886000,4886000,9624,9639,63427000,10191000.0,1408000,898000.0,3856000,2424000,802000.0,136766000.0,108052000,27139000,89572000.0,126181000,2917000,2073000.0,61701000.0,3310000,8751000,46732000,2128000,72933000,4645000,23174000,291000.0,211141000,203920000,37003000,1377000,0,0.0,883000,0.0,0,0,0,30000,213000,8349000,0.006155683130110231
27037,9000.0,9660.0,6014.0,228.0,440.0,264.0,0.0,12.0,1426.0,244380000,34975000,34975000,74315,74511,563069000,38484000.0,11377000,8531000.0,39595000,13578000,5580000.0,1051757000.0,877068000,241807000,703253000.0,1070883000,29900000,13145000.0,504239000.0,23932000,55119000,404508000,6048000,597713000,14400000,216083000,2706000.0,1249840000,1443890000,310020000,10422000,0,0.0,6568000,0.0,0,0,0,1084000,2630000,156734000,0.00031390015449980687
27039,350.0,208.0,192.0,0.0,36.0,0.0,0.0,0.0,48.0,11514000,1989000,1989000,4040,3991,24313000,1410000.0,387000,428000.0,1760000,635000,451000.0,49351000.0,38424000,11348000,35435000.0,68372000,1309000,1165000.0,28594000.0,1264000,3074000,16721000,327000,24921000,19000,7590000,140000.0,88471000,107921000,12506000,377000,0,0.0,708000,0.0,0,0,0,79000,220000,27029000,0.007832198657981094
27041,604.0,456.0,168.0,0.0,0.0,0.0,0.0,0.0,138.0,15018000,3427000,3427000,5318,5404,38424000,3651000.0,1155000,434000.0,2261000,1134000,395000.0,74830000.0,58969000,15480000,48475000.0,78182000,1799000,1370000.0,36350000.0,1541000,4051000,28179000,608000,40524000,1366000,10518000,117000.0,137945000,134640000,22704000,493000,0,0.0,725000,0.0,0,0,0,21000,298000,24037000,0.0062334837692349515
27043,96.0,408.0,60.0,0.0,0.0,0.0,0.0,0.0,126.0,6637000,1073000,1073000,1894,1853,14024000,1110000.0,384000,259000.0,995000,517000,270000.0,26708000.0,21040000,5878000,17800000.0,25708000,724000,583000.0,13740000.0,617000,1643000,9461000,448000,13330000,0,4317000,84000.0,34494000,32968000,7798000,184000,0,0.0,275000,0.0,0,0,0,0,88000,1710000,0.014509691724483229
27045,374.0,206.0,32.0,56.0,0.0,0.0,0.0,0.0,24.0,7944000,1578000,1578000,2507,2491,16679000,1626000.0,489000,245000.0,1144000,664000,266000.0,34602000.0,26062000,7318000,22609000.0,45836000,874000,1054000.0,17947000.0,727000,2081000,11334000,486000,16540000,134000,4354000,85000.0,58623000,66074000,10367000,223000,0,0.0,346000,0.0,0,0,0,8000,235000,11121000,0.005456168282916003
27047,1106.0,922.0,484.0,0.0,0.0,0.0,0.0,12.0,192.0,14382000,2224000,2224000,4145,4140,30283000,3119000.0,554000,560000.0,2475000,1225000,545000.0,59752000.0,51553000,12159000,43901000.0,63647000,1887000,1371000.0,29326000.0,1321000,3612000,22424000,680000,34947000,687000,11973000,258000.0,44890000,54308000,12732000,804000,0,0.0,366000,0.0,0,0,0,10000,162000,2407000,0.009643559811122769
27049,1116.0,718.0,306.0,0.0,24.0,0.0,0.0,36.0,248.0,23330000,3364000,3364000,6670,6681,44801000,3900000.0,942000,628000.0,3145000,1044000,512000.0,95895000.0,77650000,18475000,58550000.0,125196000,2369000,2188000.0,44191000.0,2179000,5685000,31666000,617000,50956000,1253000,14566000,229000.0,106266000,117560000,33445000,833000,0,0.0,922000,0.0,0,0,0,23000,681000,7841000,0.002837236559373169
27051,162.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4386000,639000,639000,1101,1079,7501000,536000.0,247000,140000.0,707000,270000,182000.0,15123000.0,12437000,3567000,10284000.0,14083000,557000,423000.0,8748000.0,383000,1142000,5163000,171000,7412000,0,2019000,59000.0,3332000,2845000,4303000,117000,0,0.0,124000,0.0,0,0,0,1000,83000,399000,0.030098807495741058
27053,27650.0,37626.0,25252.0,64.0,1176.0,0.0,0.0,2584.0,8938.0,673655000,90069000,90069000,165825,166230,1470222000,145410000.0,26255000,13274000.0,84055000,47483000,16735000.0,2785058000.0,2268968000,583788000,1726241000.0,2929014000,67979000,42249000.0,1132837000.0,55172000,138329000,1024500000,38261000,1505244000,30558000,498995000,6230000.0,2115602000,2373827000,913407000,20084000,0,0.0,10599000,0.0,0,0,0,932000,3180000,171633000,0.00015291457886531574
